Title,Trim,Location,Distance,MSRP,Price,Monthly Payment,VIN,Stock Number,Dealer,Dealer Phone,Dealer Address,Dealer Website,Listing URL
2025 Mazda CX-30,2.5 S AWD,"Springfield, MA",112 mi away,"$27,330","$27,330",$512/mo est.,3MVDMBAMXSM833533,M40174,Balise Mazda,(413) 500-0287,"733 East Columbus Avenue, Springfield, MA 01105",https://www.balisemazda.com/?utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/419759720?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=12&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4GACcAOx49awkKADmcHj2HACu3RXozKQAbEM1UGAMALRDExiTOPbM9pM1WGA4kwBGUBgQQ3t4QwGVLa1g6AyqAFLmABpXCKQAYgBCABYAWswAqkgA8gArfQAdwAMrIrsCPPFSKVlEh9EMALIAq41fJ5IA
2025 Nissan Sentra,SR FWD,"Westbury, NY",19 mi away,"$29,780","$27,333",$512/mo est.,3N1AB8DV5SY329940,N250654,Nissan of Westbury,(516) 518-8874,"939 Old Country Rd, Westbury, NY 11590",https://www.nissanofwestbury.com/?utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/416840779?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=13&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4GABsABw4WADsTQCcJCgA5nB49hwArv0V6MykNTWtUGAMALQ10xgzOPbM9jOtWGA4MwBGUBgQNYd4NQGVHZ1g6AyqAFLmABq3CKQAYgBCABYAWswAqkgAPIAK30AHcADKyW5gjzxUilZRIfQ1ACywNurXyeSAA
2025 Volkswagen Jetta,SE FWD,"Paramus, NJ",10 mi away,"$27,339","$27,339",$512/mo est.,3VWEX7BU8SM021167,211299,Jack Daniels Volkswagen,(201) 383-8362,"180 Route 4 East, Paramus, NJ 07652",https://www.jackdanielsvw.com/catcher.esl?vin=3VWEX7BU8SM021167&utm_source=cargurus.com&utm_medium=referral,https://www.cargurus.com/details/396992563?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=14&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpA4AnABsVVUBNfYkKADmcHjNigCu3RXozKQ1dVBgDAC0NWMY4zj2zPbjVVhgOOMARlAYEDU7eDUBlS2tYOgMqgBS5gAaFwikAGIAQgAWAFrMAKpIAPIAVvoAO4AGVkF0BHnipFKyiQ+hqAFk-hcqvk8kA
2025 Toyota Corolla,SE FWD,"Yonkers, NY",11 mi away,"$27,340","$27,340",$513/mo est.,5YFS4MCE3SP247825,WT251013,Westchester Toyota,(507) 445-6070,"2167 Central Park Ave, Yonkers, NY 10710",https://www.westchestertoyota.com/new------5YFS4MCE3SP247825?utm_source=CarGurus&utm_medium=referral,https://www.cargurus.com/details/424390403?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=15&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4zDj2AJy4WPYkKADmcHjNigCu3RXozKQAbEN1UGAMALRDExiTtcz2kw1gOJMARlAYEEM7eEMBlS2tYOgMqgBS5gAaFwikAGIAQgAWAFrMAKpIAPIAVvoAO4AGVkF0BHnipFKyiQ+iGAFk-hc6vk8kA
2025 Nissan Sentra,SR FWD,"Blackwood, NJ",95 mi away,"$29,340","$27,340",$513/mo est.,3N1AB8DV0SY367379,SY367379,Nissan of Turnersville,(856) 544-0437,"3400 Route 42, Blackwood, NJ 08012",http://www.nissanofturnersville.com/?utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/445614457?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=16&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4+ABsGNV4AOwkKADmcHj2HACu3RXozKQ1NQCcUGAMALQ1ExiTOPbM9pMjWGA4kwBGUBgQNXt4NQGVLa1g6AyqAFLmABpXCKQAYgBCABYAWswAqkgA8gArfQAdwAMrIrsCPPFSKVlEh9DUALIAq4jfJ5IA
2024 Hyundai Kona,SEL FWD,"Valley Stream, NY",15 mi away,"$28,239","$27,355",$517/mo est.,KM8HB3AB4RU120772,241017,South Shore Hyundai,(516) 788-8995,"360 W. Sunrise Highway, Valley Stream, NY 11581",https://www.southshorehyundai.com/new------KM8HB3AB4RU120772?utm_source=CarGurus&utm_medium=referral,https://www.cargurus.com/details/380543518?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=17&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpA4AHFh4OI4YVSQoAOZwePYcAK5dFejMpABsgwCcUGAMALSDExiT9cz2kyNYYDiTAEZQGBCDu3iDAZXNLWDoDKoAUuYAGpcIpABiAEIAFgBazACqSADyAFb6ADuABlZJcgR54qRSsokPpBgBZf6XEb5PJAA
2025 Nissan Kicks,SR AWD,"Medford, MA",182 mi away,"$31,360","$27,360",$513/mo est.,3N8AP6DB5SL350779,250183,Colonial Nissan of Medford,(781) 350-9673,"104 Mystic Ave, Medford, MA 02155",http://buycolonialnissan.com/?utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/402269599?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=18&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4-swAbACcePX1JCgA5nB49hwArj0V6MyktQ1QYAwAtLXjGBM49sz2E-VYYDgTAEZQGBC1u3i1AZWtbWDoDKoAUuYAGpcIpABiAEIAFgBazACqSADyAFb6ADuABlZJcgR54qRSsokPpagBZf6Xer5PJAA
2025 Nissan Kicks,SV AWD,"Ardmore, PA",91 mi away,"$27,360","$27,360",$513/mo est.,3N8AP6CB2SL438710,250317,Piazza Nissan of Ardmore,(610) 890-4517,"265 Lancaster Ave, Ardmore, PA 19003",https://www.piazzanissanofardmore.com/VehicleSearchResults?search=new&vin=3N8AP6CB2SL438710&utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/423940517?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=19&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4zPYAnDhYBADsJCgA5nB49hwArj0V6MykAGzDtVBgDAC0w5MYUzj2NVO1WGA4UwBGUBgQw3t4wwGVrW1g6AyqAFLmABpXCKQAYgBCABYAWswAqkgA8gArfQAdwAMrIrsCPPFSKVlEh9MMALIAq61fJ5IA
2024 Mitsubishi Outlander Sport,ES AWC,"Wilmington, MA",185 mi away,"$27,365","$27,365",$517/mo est.,JA4ARUAU8RU022492,M16930L,,,,,https://www.cargurus.com/details/440506369?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=20&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4OFhOAGz2dQCcJCgA5nB49hwArj0V6Mykdc1QYAwAtHXjGBM49sz2E01YYDgTAEZQGBB1u3h1AZWtbWDoDKoAUuYAGpcIpABiAEIAFgBazACqSADyAFb6ADuABlZJcgR54qRSsokPo6gBZf6XJr5PJAA
2025 Hyundai Sonata,SE FWD,"Philadelphia, PA",76 mi away,"$28,405","$27,370",$513/mo est.,KMHL24JA1SA465627,SA465627,Faulkner Hyundai - Philadelphia,(610) 638-7113,"11500 Roosevelt Blvd, Philadelphia, PA 19116",http://www.faulknerhyundaiphilly.com/?utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/443961398?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=21&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4OPYAnABsGHUAHCQoAOZwePYcAK69FejMpPX1tVBgDAC09ZMYUzXM9lO1WGA4UwBGUBgQ9Xt49QGVbe1g6AyqAFLmABpXCKQAYgBCABYAWswAqkgA8gArfQAdwAMrIrsCPPFSKVlEh9PUALIAq61fJ5IA
2025 Mazda MAZDA3,2.5 S Preferred Sedan FWD,"Yonkers, NY",9 mi away,,"$27,385",$513/mo est.,3MZBPACM4SM455178,YM1854X,Tasca Ford Mazda Subaru Yonkers,(914) 758-1569,"900 Central Park Ave, Yonkers, NY 10704",https://www.tascasubaruyonkers.com/?utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/419309700?resultSetId=c79c1943-7050-4ab8-b3e6-9d1b7a7e735a&searchUuid=2d669cae-6ae1-4323-90a4-bc1f6f65625d&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=22&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4GACc9lg1AOxsJCgA5nB49hwArj0V6MykAGzDNVBgDAC0w5MYUzj2zPZTNVhgOFMARlAYEMP7eMMBla1tYOgMqgBS5gAa1wikAGIAQgAWAFrMAKpIAPIAK30AHcADKya4gjzxUilZRIfTDACygOuNXyeSAA
